DBUID,db_name,area_sq_km,pop_total,pop_male,pop_female,pop_density_km2,density_tier,age_median,age_0_14,age_15_64,age_65_plus,pct_0_14,pct_65_plus,dependency_ratio,private_dwellings,occupied_dwellings,occupancy_rate,avg_household_size,apt_5plus,median_household_income,pct_low_income_lico,median_after_tax_income,avg_total_income
35490229023,35490229023,11.2312,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99000,3.6,10,81000
35370235001,35370235001,0.0328,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51600,6.8,20,48000
35390071003,35390071003,0.0578,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73500,2,15,66000
35490228015,35490228015,0.0164,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69000,1.2,20,65000
35490228020,35490228020,59.0922,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69000,1.2,20,65000
35490228021,35490228021,11.0137,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69000,1.2,20,65000
35370793007,35370793007,0.0319,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66500,7.2,10,63600
35060673013,35060673013,0.0298,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104000,1.6,15,88000
35191220003,35191220003,0.0131,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118000,2.8,5,104000
35191220004,35191220004,0.0131,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118000,2.8,5,104000
35201259005,35201259005,0.0106,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84000,6.4,0,77000
35090187018,35090187018,0.0023,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71500,1.2,10,64500
35370216001,35370216001,0.0186,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60400,5.2,5,57200
35204896003,35204896003,0.0895,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91000,12,20,75500
35280183009,35280183009,0.1448,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,NA,0,87000
35204900011,35204900011,2e-4,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96000,13.1,50,79500
35204901001,35204901001,0.064,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49200,32,35,45200
