ElectoralDistrictID,District,Bureau,Poste,Candidat,Partie,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes
11,11-Sault-au-Récollet,015,"0,00",LE ROUGETEL Katy,Indépendant,0,114,3,117
11,11-Sault-au-Récollet,015,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,15,114,3,117
11,11-Sault-au-Récollet,015,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,49,114,3,117
11,11-Sault-au-Récollet,015,"0,00",KACOU Jean-François,Futur Montréal,5,114,3,117
11,11-Sault-au-Récollet,015,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,39,114,3,117
11,11-Sault-au-Récollet,015,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,6,114,3,117
11,11-Sault-au-Récollet,016,"0,00",DUVAL Jean,Indépendant,0,176,5,181
11,11-Sault-au-Récollet,016,"0,00",HU Fang,Indépendant,0,176,5,181
11,11-Sault-au-Récollet,016,"0,00",LE ROUGETEL Katy,Indépendant,1,176,5,181
11,11-Sault-au-Récollet,016,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,17,176,5,181
11,11-Sault-au-Récollet,016,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,56,176,5,181
11,11-Sault-au-Récollet,016,"0,00",KACOU Jean-François,Futur Montréal,1,176,5,181
11,11-Sault-au-Récollet,016,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,95,176,5,181
11,11-Sault-au-Récollet,016,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,6,176,5,181
11,11-Sault-au-Récollet,017,"0,00",DUVAL Jean,Indépendant,0,117,5,122
11,11-Sault-au-Récollet,017,"0,00",HU Fang,Indépendant,0,117,5,122
11,11-Sault-au-Récollet,017,"0,00",LE ROUGETEL Katy,Indépendant,2,117,5,122
11,11-Sault-au-Récollet,017,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,16,117,5,122
11,11-Sault-au-Récollet,017,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,45,117,5,122
11,11-Sault-au-Récollet,017,"0,00",KACOU Jean-François,Futur Montréal,0,117,5,122
11,11-Sault-au-Récollet,017,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,49,117,5,122
11,11-Sault-au-Récollet,017,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,5,117,5,122
